Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:27:16.583;2025/01/24 02:27:21.612;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:28:38.093;2025/01/24 02:28:43.110;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:51:05.085;2025/01/24 02:51:47.314;00:00:42;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:52:59.752;2025/01/24 02:53:17.859;00:00:18;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:53:55.046;2025/01/24 02:54:00.078;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:56:24.997;2025/01/24 02:56:38.060;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:03:17.564;2025/01/24 03:03:27.626;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:05:40.405;2025/01/24 03:05:53.485;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:06:23.643;2025/01/24 03:06:45.782;00:00:22;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:08:20.360;2025/01/24 03:08:32.436;00:00:12;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:09:02.623;2025/01/24 03:09:15.688;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:09:45.861;2025/01/24 03:09:59.967;00:00:14;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:10:43.174;2025/01/24 03:11:20.329;00:00:37;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:15:39.904;2025/01/24 03:15:50.982;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:19:51.396;2025/01/24 03:20:00.448;00:00:09;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:21:30.959;2025/01/24 03:21:41.005;00:00:10;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:22:16.146;2025/01/24 03:22:23.208;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 03:25:38.334;2025/01/24 03:25:53.428;00:00:15;
